Model,Best_mIoU(%),Top5_Avg_mIoU(%),Last20_Avg_mIoU(%),Last20_Std_mIoU(%),Best_ShiftErr,Last20_Avg_ShiftErr
fps_binary_1024,7.219,6.8972,4.3656,0.6543,0.8898,0.9988
fps_binary_2048,7.698,7.3088,5.8725,0.7995,0.876,0.9316
fps_binary_4096,9.5698,9.2503,7.9727,0.7581,0.8157,0.8681
fps_binary_8192,11.3557,10.9425,9.5322,0.6889,0.7811,0.8391
fps_binary_16384,10.8758,10.5105,9.2501,1.0723,0.8131,0.8834
random_binary_1024,9.8413,9.0229,4.9256,2.1484,0.9104,0.9916
random_binary_2048,10.4653,9.9701,7.996,1.2793,0.818,0.8921
random_binary_4096,9.5332,8.9459,7.835,0.6105,0.8358,0.8954
random_binary_8192,11.7163,11.63,10.6447,0.8102,0.7683,0.8167
random_binary_16384,11.0819,10.6814,9.0021,1.0585,0.781,0.8552
surface_uniform_1024,7.1429,4.5536,1.4063,1.5951,0.8767,0.9989
surface_uniform_2048,8.9055,8.3329,6.9307,0.8516,0.8283,0.904
surface_uniform_4096,8.2123,7.9037,6.1561,0.9198,0.8257,0.9178
surface_uniform_8192,10.2361,9.2195,8.0864,0.8423,0.8224,0.8602
surface_uniform_16384,10.7418,10.632,9.566,0.5384,0.7503,0.7915
